id,first_name,last_name,gender,email,shoe_type,shoe_material,shoe_color
54791,Rebecca,Lindsay,female,RebeccaLindsay57@hotmail.com,clogs,faux-leather,black
53450,Emily,Joyce,female,EmilyJoyce25@gmail.com,ballet flats,faux-leather,navy
91987,Joyce,Waller,female,Joyce.Waller@gmail.com,sandles,fabric,black
14437,Justin,Erickson,male,Justin.Erickson@outlook.com,clogs,faux-leather,red
79357,Andrew,Banks,male,AB4318@gmail.com,boots,leather,brown
52386,Julie,Marsh,female,JulieMarsh59@gmail.com,sandles,fabric,black
20487,Thomas,Jensen,male,TJ5470@gmail.com,clogs,fabric,navy
76971,Janice,Hicks,female,Janice.Hicks@gmail.com,clogs,faux-leather,navy
21586,Gabriel,Porter,male,GabrielPorter24@gmail.com,clogs,leather,brown
62083,Frances,Palmer,female,FrancesPalmer50@gmail.com,wedges,leather,white
91629,Jessica,Hale,female,JessicaHale25@gmail.com,clogs,leather,red
98602,Lawrence,Parker,male,LawrenceParker44@gmail.com,wedges,fabric,brown
45832,Susan,Dennis,female,SusanDennis58@gmail.com,ballet flats,fabric,white
33862,Diane,Ochoa,female,DO2680@gmail.com,sandles,fabric,red
73431,Rebecca,Charles,female,Rebecca.Charles@gmail.com,boots,faux-leather,white
93889,Jacqueline,Crane,female,JC2072@hotmail.com,wedges,fabric,red
39888,Vincent,Stephenson,male,VS4753@outlook.com,boots,leather,black
35961,Roy,Tillman,male,RoyTillman20@gmail.com,boots,leather,white
24560,Thomas,Roberson,male,Thomas.Roberson@gmail.com,wedges,fabric,red
28559,Angela,Newton,female,ANewton1977@outlook.com,wedges,fabric,red
